City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Isangel,-19.55,169.2667,69.44,81,77,8.68,VU,2021-09-27 17:54:06
229,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
230,Karoi,-16.8099,29.6925,70.11,38,65,3.78,ZW,2021-09-27 17:54:43
231,Padang,-0.9492,100.3543,78.85,89,91,3.27,ID,2021-09-27 17:54:43
232,Xingyi,24.1877,102.817,57.69,92,1,1.54,CN,2021-09-27 17:54:43
233,Hilo,19.7297,-155.09,76.8,91,90,4.61,US,2021-09-27 17:53:41
234,Broken Hill,-31.95,141.4333,55.11,24,23,8.05,AU,2021-09-27 17:54:40
235,Mar Del Plata,-38.0023,-57.5575,50.13,67,0,7.0,AR,2021-09-27 17:53:15
236,Mehriz,31.5917,54.4318,75.7,25,0,0.76,IR,2021-09-27 17:54:44
237,Yulara,-25.2406,130.9889,66.04,26,6,5.75,AU,2021-09-27 17:54:05
238,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
239,Pangnirtung,66.1451,-65.7125,32.0,74,40,2.3,CA,2021-09-27 17:54:44
240,Hermanus,-34.4187,19.2345,58.89,75,73,7.27,ZA,2021-09-27 17:54:44
241,Beira,-19.8436,34.8389,75.29,88,20,14.0,MZ,2021-09-27 17:54:45
242,Bonavista,48.6499,-53.1147,64.4,98,100,13.71,CA,2021-09-27 17:54:45
243,Muana,-1.5283,-49.2167,92.71,43,8,6.4,BR,2021-09-27 17:54:45
244,Guerrero Negro,27.9769,-114.0611,72.46,64,39,12.39,MX,2021-09-27 17:54:38
245,Meulaboh,4.1363,96.1285,77.29,85,98,9.26,ID,2021-09-27 17:54:46
246,Koungou,-12.7336,45.2042,76.71,83,0,2.3,YT,2021-09-27 17:54:46
247,Vaini,-21.2,-175.2,62.76,100,20,3.44,TO,2021-09-27 17:54:29
248,Chokurdakh,70.6333,147.9167,16.34,88,69,9.73,RU,2021-09-27 17:54:46
249,Hobart,-42.8794,147.3294,46.26,82,75,3.0,AU,2021-09-27 17:54:01
250,Hilo,19.7297,-155.09,76.8,91,90,4.61,US,2021-09-27 17:53:41
251,Mahebourg,-20.4081,57.7,72.25,78,40,14.97,MU,2021-09-27 17:54:35
252,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
253,Thompson,55.7435,-97.8558,53.76,82,75,4.61,CA,2021-09-27 17:54:47
254,Atbasar,51.8,68.3333,37.69,78,98,20.27,KZ,2021-09-27 17:54:47
255,Brownsville,25.9018,-97.4975,93.02,59,49,3.0,US,2021-09-27 17:54:02
256,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
257,Nisia Floresta,-6.0911,-35.2086,85.01,58,63,17.78,BR,2021-09-27 17:53:44
258,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
259,Meulaboh,4.1363,96.1285,77.29,85,98,9.26,ID,2021-09-27 17:54:46
260,Ulladulla,-35.35,150.4667,47.3,74,60,6.13,AU,2021-09-27 17:53:51
261,Mogadishu,2.0371,45.3438,77.67,85,90,20.49,SO,2021-09-27 17:50:14
262,Mattru,7.6244,-11.8332,75.7,85,100,4.97,SL,2021-09-27 17:54:47
263,Butaritari,3.0707,172.7902,83.34,76,51,21.39,KI,2021-09-27 17:54:48
264,Arraial Do Cabo,-22.9661,-42.0278,80.56,69,40,16.11,BR,2021-09-27 17:54:41
265,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
266,Busselton,-33.65,115.3333,49.53,92,8,7.81,AU,2021-09-27 17:54:01
267,Georgetown,5.4112,100.3354,77.95,94,40,5.01,MY,2021-09-27 17:54:07
268,Katsuura,35.1333,140.3,68.14,81,70,14.03,JP,2021-09-27 17:54:48
269,Simbahan,6.3032,120.5836,83.25,75,45,8.14,PH,2021-09-27 17:54:48
270,Santa Ines,-3.6667,-45.38,92.44,42,82,3.22,BR,2021-09-27 17:54:49
271,Avarua,-21.2078,-159.775,71.65,94,8,1.14,CK,2021-09-27 17:54:14
272,Albany,42.6001,-73.9662,75.74,70,91,6.11,US,2021-09-27 17:54:22
273,Wyndham,37.6985,-77.6125,82.81,47,11,1.01,US,2021-09-27 17:54:49
274,La Ronge,55.1001,-105.2842,59.22,62,40,8.05,CA,2021-09-27 17:53:53
275,Lorengau,-2.0226,147.2712,81.18,78,20,6.6,PG,2021-09-27 17:54:49
276,Esperance,-33.8667,121.9,53.44,81,97,18.3,AU,2021-09-27 17:54:16
277,Vila Velha,-20.3297,-40.2925,82.35,68,40,19.57,BR,2021-09-27 17:54:11
278,Aswan,24.0934,32.907,94.3,15,0,11.5,EG,2021-09-27 17:54:49
279,Qaanaaq,77.484,-69.3632,25.2,68,100,5.64,GL,2021-09-27 17:54:26
280,Vaini,-21.2,-175.2,62.76,100,20,3.44,TO,2021-09-27 17:54:29
281,Avarua,-21.2078,-159.775,71.65,94,8,1.14,CK,2021-09-27 17:54:14
282,Ponta Do Sol,32.6667,-17.1,75.83,71,24,4.61,PT,2021-09-27 17:54:17
283,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
284,Butaritari,3.0707,172.7902,83.34,76,51,21.39,KI,2021-09-27 17:54:48
285,Punta Arenas,-53.15,-70.9167,50.11,53,75,28.77,CL,2021-09-27 17:49:42
286,Nome,64.5011,-165.4064,30.69,85,15,3.96,US,2021-09-27 17:54:50
287,Cape Town,-33.9258,18.4232,60.28,59,40,10.36,ZA,2021-09-27 17:53:54
288,Yumen,40.2833,97.2,63.0,20,0,11.18,CN,2021-09-27 17:54:50
289,Chodavaram,17.8333,82.95,80.44,95,94,2.19,IN,2021-09-27 17:54:51
290,San Quintin,30.4833,-115.95,71.1,72,94,13.2,MX,2021-09-27 17:54:51
291,Hobart,-42.8794,147.3294,46.26,82,75,3.0,AU,2021-09-27 17:54:01
